entity,fact,text
sodium phosphate,Sodium phosphate is used at 0.088 M concentration in the anode buffer for discontinuous acid starch gel electrophoresis of human serum.,Entity: sodium phosphate. SMILES: O=P([O-])([O-])[O-].[Na+].[Na+].[Na+]. Sodium phosphate is used at 0.088 M concentration in the anode buffer for discontinuous acid starch gel electrophoresis of human serum.
citric acid,Citric acid is used as a buffer component at 0.006 M in the gel buffer and 0.056 M in the anode buffer for discontinuous acid starch gel electrophoresis of human serum.,Entity: citric acid. SMILES: O=C(O)CC(O)(CC(=O)O)C(=O)O. Citric acid is used as a buffer component at 0.006 M in the gel buffer and 0.056 M in the anode buffer for discontinuous acid starch gel electrophoresis of human serum.
boric acid,Boric acid is used at 0.65 M concentration in the cathode buffer for discontinuous acid starch gel electrophoresis of human serum.,Entity: boric acid. SMILES: OB(O)O. Boric acid is used at 0.65 M concentration in the cathode buffer for discontinuous acid starch gel electrophoresis of human serum.
magnesium,"Magnesium inhibits the acrosome reaction in guinea pig spermatozoa in vitro, with complete suppression at 10 mM magnesium and a concentration-dependent effect observed between 1 mM and 10 mM.","Entity: magnesium. SMILES: [Mg]. Magnesium inhibits the acrosome reaction in guinea pig spermatozoa in vitro, with complete suppression at 10 mM magnesium and a concentration-dependent effect observed between 1 mM and 10 mM."
magnesium,"The inhibitory effect of magnesium on the acrosome reaction in guinea pig spermatozoa is competitive with respect to calcium, as shown by the ability of 3 or 5 mM calcium to overcome the inhibition at 1 mM magnesium.","Entity: magnesium. SMILES: [Mg]. The inhibitory effect of magnesium on the acrosome reaction in guinea pig spermatozoa is competitive with respect to calcium, as shown by the ability of 3 or 5 mM calcium to overcome the inhibition at 1 mM magnesium."
calcium,"Calcium can overcome the inhibitory effect of magnesium on the acrosome reaction in guinea pig spermatozoa in vitro, with 3 or 5 mM calcium sufficient to restore acrosome reaction activity in the presence of 1 mM magnesium.","Entity: calcium. SMILES: [Ca]. Calcium can overcome the inhibitory effect of magnesium on the acrosome reaction in guinea pig spermatozoa in vitro, with 3 or 5 mM calcium sufficient to restore acrosome reaction activity in the presence of 1 mM magnesium."
"N,N'-Methylene-bis-acrylamide","N,N'-Methylene-bis-acrylamide is used as a cross-linking agent at 5% concentration in Cyanogum-41 gel matrices for polyacrylamide gel electrophoresis.","Entity: N,N'-Methylene-bis-acrylamide. SMILES: C=CC(=O)NCNC(=O)C=C. N,N'-Methylene-bis-acrylamide is used as a cross-linking agent at 5% concentration in Cyanogum-41 gel matrices for polyacrylamide gel electrophoresis."
methoxyflurane,Methoxyflurane is used as an anesthetic agent for gilts during uterine flushing and protein analysis procedures.,Entity: methoxyflurane. SMILES: COC(F)(F)C(Cl)Cl. Methoxyflurane is used as an anesthetic agent for gilts during uterine flushing and protein analysis procedures.
trichloroacetic acid,Trichloroacetic acid is used at 12.5% concentration to fix polyacrylamide gels prior to staining with Coomassie blue.,Entity: trichloroacetic acid. SMILES: O=C(O)C(Cl)(Cl)Cl. Trichloroacetic acid is used at 12.5% concentration to fix polyacrylamide gels prior to staining with Coomassie blue.
progesterone,"Progesterone treatment of gilts induces secretion of both acidic and basic uterine specific proteins, which are characteristic of mature gilt uterine secretions.","Entity: progesterone. SMILES: CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C. Progesterone treatment of gilts induces secretion of both acidic and basic uterine specific proteins, which are characteristic of mature gilt uterine secretions."
progesterone,The ability of progesterone to induce secretion of uterine specific proteins in gilts is most effective when administered from about 122 to 166 days of age.,Entity: progesterone. SMILES: CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C. The ability of progesterone to induce secretion of uterine specific proteins in gilts is most effective when administered from about 122 to 166 days of age.
estradiol,"Estradiol alone does not induce secretion of uterine specific proteins in gilts, but when combined with progesterone, it promotes the secretion of both acidic and basic uterine specific proteins.","Entity: estradiol. SMILES: C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O. Estradiol alone does not induce secretion of uterine specific proteins in gilts, but when combined with progesterone, it promotes the secretion of both acidic and basic uterine specific proteins."
potassium,"Potassium concentration in the caput and corpus epididymidis of the hamster is higher than in the proximal and distal cauda, and is lower in the cauda compared to the caput and corpus.","Entity: potassium. SMILES: [K]. Potassium concentration in the caput and corpus epididymidis of the hamster is higher than in the proximal and distal cauda, and is lower in the cauda compared to the caput and corpus."
potassium,"Potassium concentration in the caput epididymidis of the hamster is 22–62 mEq/1, showing considerable fluctuation in secretion and/or absorption.","Entity: potassium. SMILES: [K]. Potassium concentration in the caput epididymidis of the hamster is 22–62 mEq/1, showing considerable fluctuation in secretion and/or absorption."
potassium,"Potassium concentration in the cauda epididymidis of the hamster is lower than in the caput or corpus, and is similar to previously reported values in other species.","Entity: potassium. SMILES: [K]. Potassium concentration in the cauda epididymidis of the hamster is lower than in the caput or corpus, and is similar to previously reported values in other species."
potassium,"Potassium concentration in the rete testis and caput epididymidis of the hamster increases from 15 mEq/1 to 39.3 mEq/1, indicating net absorption between these regions.","Entity: potassium. SMILES: [K]. Potassium concentration in the rete testis and caput epididymidis of the hamster increases from 15 mEq/1 to 39.3 mEq/1, indicating net absorption between these regions."
potassium,"The K/Na4 ratio in the cauda epididymidis of the hamster approaches its highest value, coinciding with the plateauing of potassium and sodium levels and the onset of sperm fertility.","Entity: potassium. SMILES: [K]. The K/Na4 ratio in the cauda epididymidis of the hamster approaches its highest value, coinciding with the plateauing of potassium and sodium levels and the onset of sperm fertility."
sodium,"Sodium concentration in the caput and corpus epididymidis of the hamster is 28.4 ± 0.6 mEq/1 and 31.1 ± 2.0 mEq/1, respectively, higher than in the proximal cauda (13.6 ± 1.2 mEq/1), distal cauda (6.1 ± 0.5 mEq/1), and epididymal vas (6.7 ± 0.6 mEq/1).","Entity: sodium. SMILES: [Na]. Sodium concentration in the caput and corpus epididymidis of the hamster is 28.4 ± 0.6 mEq/1 and 31.1 ± 2.0 mEq/1, respectively, higher than in the proximal cauda (13.6 ± 1.2 mEq/1), distal cauda (6.1 ± 0.5 mEq/1), and epididymal vas (6.7 ± 0.6 mEq/1)."
sodium,"Sodium is secreted between the caput and corpus epididymidis of the hamster, and then reabsorbed between the corpus and cauda.","Entity: sodium. SMILES: [Na]. Sodium is secreted between the caput and corpus epididymidis of the hamster, and then reabsorbed between the corpus and cauda."
sodium,"The sodium concentration in the cauda epididymidis of the hamster is much lower than in the caput or corpus, and is similar to previously reported values in other species.","Entity: sodium. SMILES: [Na]. The sodium concentration in the cauda epididymidis of the hamster is much lower than in the caput or corpus, and is similar to previously reported values in other species."
sodium,"Sodium concentration in the rete testis and caput epididymidis of the hamster decreases from 28.4 mEq/1 to 28.4 mEq/1, indicating net absorption between these regions.","Entity: sodium. SMILES: [Na]. Sodium concentration in the rete testis and caput epididymidis of the hamster decreases from 28.4 mEq/1 to 28.4 mEq/1, indicating net absorption between these regions."
Ammonium phosphate,Ammonium phosphate is used as a diluent in the preparation of tubular fluid samples for ion concentration measurements in the hamster epididymis.,Entity: Ammonium phosphate. SMILES: O=P([O-])([O-])[O-].[NH4+].[NH4+].[NH4+]. Ammonium phosphate is used as a diluent in the preparation of tubular fluid samples for ion concentration measurements in the hamster epididymis.
Cesium nitrate,Cesium nitrate is used as a diluent in the preparation of tubular fluid samples for ion concentration measurements in the hamster epididymis.,Entity: Cesium nitrate. SMILES: O=[N+]([O-])[O-].[Cs+]. Cesium nitrate is used as a diluent in the preparation of tubular fluid samples for ion concentration measurements in the hamster epididymis.
Sodium,Plasma sodium concentrations in the hamster epididymis can be measured using a flame photometer.,Entity: Sodium. SMILES: [Na]. Plasma sodium concentrations in the hamster epididymis can be measured using a flame photometer.
Potassium,"Intratubular potassium concentrations in the hamster epididymis caput are higher (39.3 ± 0.8 mEq/1) than in the proximal cauda (20.8 ± 1.1 mEq/1), distal cauda (23.9 ± 1.0 mEq/1), and epididymal vas (22.2 ± 0.9 mEq/1), with no statistically significant difference between the corpus (4.8 ± 0.9 mEq/1) and proximal cauda/epididymal vas.","Entity: Potassium. SMILES: [K]. Intratubular potassium concentrations in the hamster epididymis caput are higher (39.3 ± 0.8 mEq/1) than in the proximal cauda (20.8 ± 1.1 mEq/1), distal cauda (23.9 ± 1.0 mEq/1), and epididymal vas (22.2 ± 0.9 mEq/1), with no statistically significant difference between the corpus (4.8 ± 0.9 mEq/1) and proximal cauda/epididymal vas."
potassium,"The potassium concentration in the caput of the epididymis is 39.3 ± 4.8 mEq/l, which is significantly higher than in the proximal cauda (20.8 ± 1.1 mEq/l), distal cauda (23.9 ± 1.0 mEq/l), and epididymal vas (22.2 ± 0.9 mEq/l).","Entity: potassium. SMILES: [K]. The potassium concentration in the caput of the epididymis is 39.3 ± 4.8 mEq/l, which is significantly higher than in the proximal cauda (20.8 ± 1.1 mEq/l), distal cauda (23.9 ± 1.0 mEq/l), and epididymal vas (22.2 ± 0.9 mEq/l)."
potassium,Forty-five percent of the potassium present in the caput of the epididymis is absorbed between the caput and the proximal cauda.,Entity: potassium. SMILES: [K]. Forty-five percent of the potassium present in the caput of the epididymis is absorbed between the caput and the proximal cauda.
sodium,"The concentration of sodium in the caput of the epididymis is 28.4 ± 0.6 mEq/l, and in the corpus is 31.1 mEq/l.","Entity: sodium. SMILES: [Na]. The concentration of sodium in the caput of the epididymis is 28.4 ± 0.6 mEq/l, and in the corpus is 31.1 mEq/l."
5-ethyl-5-(1-methylpropyl)-2-thiobarbiturate,5-ethyl-5-(1-methylpropyl)-2-thiobarbiturate (Inactin) is used as an anesthetic agent at a dose of 200 mg/kg body weight in male golden hamsters.,Entity: 5-ethyl-5-(1-methylpropyl)-2-thiobarbiturate. SMILES: CCC(C)C1(CC)C(=O)NC(=S)NC1=O. 5-ethyl-5-(1-methylpropyl)-2-thiobarbiturate (Inactin) is used as an anesthetic agent at a dose of 200 mg/kg body weight in male golden hamsters.
uridine,Uridine is used as a nucleolar label in embryos to assess cell division and embryonic development by measuring the proportion of blastomeres containing labeled nucleoli.,Entity: uridine. SMILES: O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1. Uridine is used as a nucleolar label in embryos to assess cell division and embryonic development by measuring the proportion of blastomeres containing labeled nucleoli.
Uridine,"Uridine is incorporated into embryonic cells during normal development, with incorporation primarily into heterogeneous nuclear RNA (hnRNA), 4S RNA, and to a lesser extent, precursor ribosomal RNA.","Entity: Uridine. SMILES: O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1. Uridine is incorporated into embryonic cells during normal development, with incorporation primarily into heterogeneous nuclear RNA (hnRNA), 4S RNA, and to a lesser extent, precursor ribosomal RNA."
